标题,地区,位置,具体位置,均价,平方米每元/单位,总价,类型,面积,标签,室厅数,均价/平方米每元
万科世纪灯湖·瑧府,南海,千灯湖,华翠北路万科瑧府,50000, 元/㎡(均价),总价600-1100(万/套),在售,建面 143-237㎡,"佛山楼盘, 车位充足, 绿化率高, 国央企","3室, 4室","50000,  元/㎡(均价)"
滨江嘉苑,端州区,,二塔路滨江嘉苑,9800, 元/㎡(均价),总价110-140(万/套),在售,建面 102-139㎡,"楼盘, 人车分流, 小型社区, 公交直达","3室, 4室","9800,  元/㎡(均价)"
保利和著,南海,平洲,深海路保利和著,24000, 元/㎡(均价),总价270-490(万/套),在售,建面 119-163㎡,"佛山楼盘, 车位充足, 人车分流, 国央企",4室,"24000,  元/㎡(均价)"
裕桂楼,南海,桂城,广东省佛山市南海区南新一路9号,20000, 元/㎡(均价),总价180-220(万/套),在售,建面 91-114㎡,"佛山楼盘, 人车分流, 小型社区, 近地铁","2室, 3室","20000,  元/㎡(均价)"
汇景园,鼎湖区,鼎湖,民乐大道汇景园,5200, 元/㎡(均价),总价46-65(万/套),在售,建面 87-117㎡,"楼盘, 低单价, 低总价, 绿化率高","3室, 4室","5200,  元/㎡(均价)"
丽江蓝湾,高要区,,文峰路丽江蓝湾,4900, 元/㎡(均价),总价35-45(万/套),在售,建面 67-84㎡,"楼盘, 低单价, 低总价, 人车分流","2室, 3室","4900,  元/㎡(均价)"
怡亚通珑樾,禅城,岭南大道,文华中路怡亚通珑樾,22000, 元/㎡(均价),总价275-315(万/套),在售,建面 123-142㎡,"佛山楼盘, 车位充足, 低密居所, 国央企",3室,"22000,  元/㎡(均价)"
新希望悦珑湾,顺德,陈村,广东省佛山市顺德区,25000, 元/㎡(均价),总价139(万/套),在售,,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",,"25000,  元/㎡(均价)"
颐安·雍悦华府,三水,北江新区,三水区西南街道口岸达到22号,20000, 元/㎡(均价),总价50-160(万/套),在售,建面 23-97㎡,"佛山楼盘, 人车分流, 封闭管理, 品牌房企",1室,"20000,  元/㎡(均价)"
顺控博悦湾新翼,顺德,顺德碧桂园,佛山顺德北滘碧桂园社区科贤路1号,11000, 元/㎡(均价),总价166-186(万/套),在售,建面 123-138㎡,"佛山楼盘, 低单价, 低总价, 人车分流",4室,"11000,  元/㎡(均价)"
中盛龙骧水岸,南海,大沥,佛山南海大沥广佛路太平牌坊旁,15500, 元/㎡(均价),总价150-203(万/套),在售,建面 88-118㎡,"佛山楼盘, 人车分流, 小型社区, 品牌房企","2室, 3室","15500,  元/㎡(均价)"
致美家园,南海,狮山,佛山市南海区狮山镇博华路2号,16000, 元/㎡(均价),总价220-1000(万/套),在售,建面 134-392㎡,"佛山楼盘, 车位充足, 人车分流, 品牌房企","3室, 4室, 5室","16000,  元/㎡(均价)"
岭南华曦府,顺德,大良东区,东乐路岭南华曦府,17000, 元/㎡(均价),总价166-243(万/套),在售,建面 98-135㎡,"佛山楼盘, 人车分流, 封闭管理, 国央企","3室, 4室","17000,  元/㎡(均价)"
江鹤1号,鹤山市,鹤山市,大岗路江鹤1号,7000, 元/㎡(均价),总价53-82(万/套),在售,建面 89-143㎡,"楼盘, 车位充足, 人车分流, 小三居","3室, 4室","7000,  元/㎡(均价)"
春风潮鸣花园,鹤山市,鹤山市,江门鹤山市沙坪城区古劳水乡东坡公园旁,7750, 元/㎡(均价),总价57-68(万/套),在售,建面 83-103㎡,"楼盘, 人车分流, 大型社区, 品牌房企","3室, 4室","7750,  元/㎡(均价)"
春风潮鸣花园,鹤山市,鹤山市,沙坪街道春风潮鸣花园,10000, 元/㎡(均价),总价220-235(万/套),在售,建面 214-231㎡,"楼盘, 人车分流, 大型社区, 品牌房企","4室, 5室","10000,  元/㎡(均价)"
顺峰府,顺德,大良东区,广东省佛山市顺德区新桂中路9号,17000, 元/㎡(均价),总价148-600(万/套),在售,建面 90-300㎡,"佛山楼盘, 车位充足, 绿化率高, 近地铁","2室, 3室, 4室","17000,  元/㎡(均价)"
新怡明德世家,南海,盐步,佛山南海大沥皇朝西路与建设西路交汇处,13500, 元/㎡(均价),总价125-195(万/套),在售,建面 93-137㎡,"佛山楼盘, 低单价, 人车分流, 小型社区","3室, 4室","13500,  元/㎡(均价)"
东建天赋龙湾,禅城,张槎,佛山禅城张槎忠信路北侧、华富路西侧、智慧路南侧,18500, 元/㎡(均价),总价150-403(万/套),在售,建面 97-187㎡,"佛山楼盘, 绿化率高, 人车分流, 品牌房企","3室, 4室","18500,  元/㎡(均价)"
智信明轩,高明,荷城,祥如路23号,6300, 元/㎡(均价),总价57-68(万/套),在售,建面 95-108㎡,"佛山楼盘, 人车分流, 小型社区, 公交直达",3室,"6300,  元/㎡(均价)"
博雅滨江,三水,西南街道,文锋西路55号花果山,20000, 元/㎡(均价),总价57-137(万/套),在售,建面 28-68㎡,"佛山楼盘, 车位充足, 人车分流, 品牌房企",1室,"20000,  元/㎡(均价)"
捷和广场三期水溋坊,三水,云东海街道,南丰大道捷和广场三期水溋坊,25000, 元/㎡(均价),总价104.4-164.9(万/套),在售,建面 22-65㎡,"佛山楼盘, 低总价, 人车分流, 封闭管理",1室,"25000,  元/㎡(均价)"
桐林天晋,南海,盐步,南海-盐步/盐秀路1号之二,17000, 元/㎡(均价),总价137-201(万/套),在售,建面 89-115㎡,"佛山楼盘, 人车分流, 小型社区, 公交直达","2室, 3室","17000,  元/㎡(均价)"
涛汇鎏金湾二期·瑞府,顺德,大良新区,佛山顺德大良南江社区德胜西路10号,15000, 元/㎡(均价),总价195-225(万/套),在售,建面 120-140㎡,"佛山楼盘, 绿化率高, 人车分流, 公交直达","3室, 4室","15000,  元/㎡(均价)"
怡亚通珑樾,禅城,岭南大道,地铁湾华站北行约200米,18000, 元/㎡(均价),总价1100(万/套),在售,,"佛山楼盘, 车位充足, 人车分流, 国央企",,"18000,  元/㎡(均价)"
藏珑华府,顺德,陈村,顺德-陈村/佛山广珠西线石洲出口西侧800米,8800, 元/㎡(均价),总价30-50(万/套),在售,建面 39-58㎡,"佛山楼盘, 低单价, 人车分流, 封闭管理","1室, 2室","8800,  元/㎡(均价)"
智富新天地,顺德,杏坛,佛山顺德杏坛高赞村高桂大道北28号,7800, 元/㎡(均价),总价54-83(万/套),在售,建面 72-107㎡,"佛山楼盘, 低单价, 低总价, 人车分流","3室, 4室","7800,  元/㎡(均价)"
中兴汇富居,鹤山市,鹤山市,铁夫路中兴汇富居,6800, 元/㎡(均价),总价49-150(万/套),在售,建面 76-189㎡,"楼盘, 绿化率高, 人车分流, 公交直达","3室, 4室, 5室","6800,  元/㎡(均价)"
桃园高尔夫豪庭,南海,松岗,南海区狮山镇桃影路8号,20000, 元/㎡(均价),总价480-2300(万/套),在售,建面 396-973㎡,"佛山楼盘, 人车分流, 小型社区, 置换改善","6室, 7室, 8室","20000,  元/㎡(均价)"
万和融禧公馆,南海,千灯湖,桂城街道万和融禧公馆,17000, 元/㎡(均价),总价130-225(万/套),在售,建面 71-122㎡,"佛山楼盘, 小型社区, 封闭管理, 多轨交汇","2室, 3室","17000,  元/㎡(均价)"
大学城•禾粤,南海,狮山,佛山南海狮山和众路3号,7500, 元/㎡(均价),总价70-100(万/套),在售,建面 88-123㎡,"佛山楼盘, 低单价, 低总价, 人车分流","3室, 4室","7500,  元/㎡(均价)"
天健汇,天河,车陂,车陂北路（天坤三路与健明四路交汇处）,37500, 元/㎡(均价),总价135(万/套),售罄,建面 36-51㎡,"人车分流, 小型社区, 国央企, 品牌房企","1室, 3室","37500,  元/㎡(均价)"
绿地云央,白云,太和,草塘路5号,27500, 元/㎡(均价),总价275(万/套),售罄,建面 98-138㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","27500,  元/㎡(均价)"
智杰雅筑,从化,河滨北路,向阳路32号,11000, 元/㎡(均价),总价140(万/套),售罄,建面 90-242㎡,"绿化率高, 人车分流, 入户花园, 贴心物业","3室, 5室","11000,  元/㎡(均价)"
南华时代城,花都,铁路西,新华街工业大道18号,20000, 元/㎡(均价),总价220(万/套),售罄,建面 105-124㎡,"人车分流, 大型社区, 健身跑道, 地铁沿线",3室,"20000,  元/㎡(均价)"
公园里（春晓花园）,增城,荔城增江,广汕公路与增江大道南交汇处（天恩小学对面）,9800, 元/㎡(均价),,售罄,建面 113-135㎡,"车位充足, 绿化率高, 入户花园, 中式建筑",3室,"9800,  元/㎡(均价)"
中森茗苑,增城,新塘北,新塘石新路168号,21000, 元/㎡(均价),总价185(万/套),售罄,建面 85-88㎡,"人车分流, 封闭管理, 入户花园, 儿童乐园",3室,"21000,  元/㎡(均价)"
宏诚海峰花园,从化,江浦街,广州市从化区江埔街环市东路453号,价格待定,,,售罄,建面 79-134㎡,"人车分流, 封闭管理, 健身跑道, 贴心物业","2室, 3室, 4室",价格待定
越秀星汇云城,白云,同和,广州大道北同宝路163号,53000, 元/㎡(均价),总价550(万/套),售罄,建面 78-122㎡,"车位充足, 绿化率高, 国央企, 入户花园","2室, 3室, 4室","53000,  元/㎡(均价)"
盈港国际,南沙,进港大道,广州市南沙区南沙街进港大道577号进港大道盈港国际,14500, 元/㎡(均价),总价140(万/套),售罄,建面 87-139㎡,"绿化率高, 人车分流, 自持商业, 公交直达","1室, 2室, 3室","14500,  元/㎡(均价)"
远东御江豪庭,荔湾,茶滘,百花路58号（花地河畔）,40000, 元/㎡(均价),总价343(万/套),售罄,建面 85-127㎡,"人车分流, 小型社区, 休闲会所, 地铁沿线","0室, 2室, 3室","40000,  元/㎡(均价)"
中海联南沙国贸中心,南沙,金洲,上隆岭路中海联南沙国贸中心,13000, 元/㎡(均价),总价68(万/套),售罄,建面 52-58㎡,"人车分流, 小型社区, 近地铁, 地铁沿线",2室,"13000,  元/㎡(均价)"
家和天曜,天河,黄村,大灵山路430号,33000, 元/㎡(均价),总价135(万/套),售罄,建面 43-52㎡,"绿化率高, 人车分流, 自持商业, 公交直达",2室,"33000,  元/㎡(均价)"
大夫山尚东,番禺,市桥,禺山西路东桥大街68号,24000, 元/㎡(均价),总价220(万/套),售罄,建面 79-110㎡,"绿化率高, 人车分流, 品牌房企, 贴心物业","2室, 3室, 4室","24000,  元/㎡(均价)"
中鼎名汇,黄埔,黄埔区府,广东省广州市黄埔区丰乐北路68号,23500, 元/㎡(均价),总价170(万/套),售罄,建面 49-86㎡,"绿化率高, 人车分流, 贴心物业, 自持商业","1室, 2室","23500,  元/㎡(均价)"
保利罗兰国际4期,黄埔,科学城,开创大道2656号,41000, 元/㎡(均价),总价450(万/套),售罄,建面 54-172㎡,"车位充足, 绿化率高, 国央企, 品牌房企","1室, 2室, 3室","41000,  元/㎡(均价)"
金地香山湖,增城,永宁,永和新新大道15号,12000, 元/㎡(均价),总价160(万/套),售罄,建面 129-170㎡,"人车分流, 小型社区, 品牌房企, 入户花园",4室,"12000,  元/㎡(均价)"
天马丽苑·悦璟湾,花都,铁路西,新街大道望亭路8号,32000, 元/㎡(均价),总价360(万/套),售罄,建面 99-145㎡,"车位充足, 绿化率高, 养老舒适, 入户花园","3室, 4室","32000,  元/㎡(均价)"
增城一品山湖,增城,荔城增江,增江街初溪村（广东工业大学华立学院旁和新建的北汽汽车城对面）,11000, 元/㎡(均价),总价130(万/套),售罄,建面 107-149㎡,"人车分流, 大型社区, 国央企, 品牌房企","3室, 4室","11000,  元/㎡(均价)"
中国铁建环球中心,南沙,南沙区府,广州市南沙区进港大道与丰泽西路交汇处,23000, 元/㎡(均价),,售罄,,"人车分流, 大型社区, 国央企, 品牌房企",,"23000,  元/㎡(均价)"
众筑•东山学府,越秀,环市东,东风东路737号（东风东路小学对面）,价格待定,,,售罄,建面 42-61㎡,"人车分流, 小型社区, 近地铁, 多轨交汇","1室, 2室",价格待定
万科海上传奇,荔湾,芳村,芳村大道珠江隧道口以西,价格待定,,,售罄,,"车位充足, 小型社区, 国央企, 品牌房企",,价格待定
合景誉山国际,增城,永宁,广园东新新公路中段,18000, 元/㎡(均价),总价90(万/套),售罄,,"车位充足, 人车分流, 品牌房企, 贴心物业",,"18000,  元/㎡(均价)"
华发荔湾荟,荔湾,滘口,芳村大道西兴东路（郭村小区以南）,22000, 元/㎡(均价),总价85(万/套),售罄,建面 41-64㎡,"人车分流, 小型社区, 国央企, 品牌房企","2室, 3室","22000,  元/㎡(均价)"
广州国际空港中心,花都,镜湖大道,迎宾大道以南,12000, 元/㎡(均价),总价46(万/套),售罄,建面 35-41㎡,"绿化率高, 人车分流, 国央企, 品牌房企","1室, 2室","12000,  元/㎡(均价)"
招商臻园,增城,新塘北,广园快速荔新出口新塘万达旁,18000, 元/㎡(均价),总价230(万/套),售罄,建面 95-143㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室, 5室","18000,  元/㎡(均价)"
越秀臻悦府,花都,镜湖大道,花都湖•凤凰南路,30000, 元/㎡(均价),总价290(万/套),售罄,建面 100-120㎡,"车位充足, 绿化率高, 国央企, 品牌房企",4室,"30000,  元/㎡(均价)"
逸合中心,荔湾,鹤洞,浣花路荔湾儿童公园西侧,34000, 元/㎡(均价),总价155(万/套),售罄,建面 30-59㎡,"人车分流, 封闭管理, 品牌房企, 近地铁","2室, 3室","34000,  元/㎡(均价)"
粤泰荣廷府,越秀,东川路,东华西路52-56号,价格待定,,,售罄,,"人车分流, 小型社区, 品牌房企, 近地铁",,价格待定
越秀国际总部广场,南沙,金洲,双山大道与金隆路交汇处,13500, 元/㎡(均价),总价70(万/套),售罄,建面 40-87㎡,"人车分流, 大型社区, 国央企, 品牌房企","2室, 3室, 4室","13500,  元/㎡(均价)"
天河金街,天河,天润路,天河北路曜一城广场负一楼,价格待定,,,售罄,,"车位充足, 小型社区, 近地铁, 地铁沿线",,价格待定
合家和府,从化,旺城片区,城郊街城新路136号,12000, 元/㎡(均价),总价120(万/套),售罄,建面 90-124㎡,"车位充足, 绿化率高, 儿童乐园, 公交直达","2室, 3室","12000,  元/㎡(均价)"
星河·湾区壹号,南沙,金洲,金苑大街与金苑横街交叉口西,13000, 元/㎡(均价),总价80(万/套),售罄,建面 39-73㎡,"人车分流, 封闭管理, 品牌房企, 健身跑道","1室, 2室, 3室","13000,  元/㎡(均价)"
祈福黄金海岸,花都,赤坭镇,赤泥镇培正大道集益水库（培正学院旁）,7888, 元/㎡(均价),总价58(万/套),售罄,建面 73-151㎡,"绿化率高, 低密居所, 贴心物业, 实体样板间","2室, 3室, 4室","7888,  元/㎡(均价)"
海航白云YH城,白云,夏茅,鹤龙一路208号,价格待定,,,售罄,,"小型社区, 品牌房企, 地铁沿线, 公交直达",,价格待定
嘉骏幸福里,从化,旧城区,广州市从化区城郊安园街43号,15500, 元/㎡(均价),总价149(万/套),售罄,建面 89-106㎡,"绿化率高, 人车分流, 健身跑道, 休闲会所",3室,"15500,  元/㎡(均价)"
保利合锦领秀山,增城,荔城增江,增江街陆村村鹅春岭,10000, 元/㎡(均价),,售罄,建面 100-139㎡,"车位充足, 人车分流, 品牌房企, 入户花园","3室, 4室","10000,  元/㎡(均价)"
远洋招商保利东湾,增城,朱村,广东省广州市增城区朱村大道西163号,20000, 元/㎡(均价),总价188(万/套),售罄,建面 96-110㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","20000,  元/㎡(均价)"
合汇璟园,增城,增城碧桂园,荔城街荔湖大道397号,35000, 元/㎡(均价),总价800(万/套),售罄,建面 207-250㎡,"车位充足, 人车分流, 品牌房企, 入户花园",4室,"35000,  元/㎡(均价)"
珠光御景壹號,荔湾,黄沙,黄沙大道15-17号,65000, 元/㎡(均价),总价400(万/套),售罄,建面 50-100㎡,"绿化率高, 人车分流, 休闲会所, 自持商业","1室, 2室, 3室","65000,  元/㎡(均价)"
纵横缤城,白云,新市,佳园街37-45号（单）,43000, 元/㎡(均价),总价360(万/套),售罄,建面 71-100㎡,"绿化率高, 人车分流, 地铁沿线, 公交直达","2室, 3室","43000,  元/㎡(均价)"
广州大学城智慧谷,番禺,国际创新城,曾边大街思科智慧城,28600, 元/㎡(均价),总价950(万/套),售罄,建面 340㎡,"人车分流, 大型社区, 品牌房企, 入户花园",1室,"28600,  元/㎡(均价)"
鸿成珠江玥,南沙,万顷沙,广州市珠江街新广六路112号,19000, 元/㎡(均价),总价180(万/套),售罄,建面 77-100㎡,"绿化率高, 低密居所, 养老舒适, 自持商业","2室, 3室","19000,  元/㎡(均价)"
华远雲和墅,白云,东平,白云大道北大一大街23号,90000, 元/㎡(均价),总价2000(万/套),售罄,建面 153-230㎡,"车位充足, 绿化率高, 国央企, 养老舒适","2室, 3室","90000,  元/㎡(均价)"
鸿成珠江玥,南沙,万顷沙,珠江街西新二路（西新社区旁）,价格待定,,,售罄,,"小型社区, 地铁沿线, 公交直达, 已交房超2年",,价格待定
大壮国际广场,黄埔,科学城,开泰大道601号,价格待定,,,售罄,,"大型社区, 近地铁, 地铁沿线, 综合商场",,价格待定
嘉骏幸福里,从化,旧城区,广州市从化区城郊安园街43号,价格待定,,,售罄,,"人车分流, 小型社区, 健身跑道, 贴心物业",,价格待定
越秀臻悦府,花都,镜湖大道,"凤凰南路, 越秀臻悦府",价格待定,,,售罄,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
保利阅云台,白云,新市,三元里大道1375号,45000, 元/㎡(均价),总价450(万/套),售罄,建面 99-108㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","45000,  元/㎡(均价)"
时代四季奕居,越秀,水荫,环市东水荫路70号,价格待定,,,售罄,,"绿化率高, 人车分流, 国央企, 品牌房企",,价格待定
南沙.越秀明珠天悦江湾,南沙,明珠湾,庙南路江灵路小学旁越秀明珠天悦江湾,30000, 元/㎡(均价),总价260(万/套),售罄,建面 80-178㎡,"绿化率高, 人车分流, 国央企, 品牌房企","3室, 4室","30000,  元/㎡(均价)"
中国铁建·花语岭南,番禺,金山谷,兴学路西侧,45000, 元/㎡(均价),总价650(万/套),售罄,建面 110-195㎡,"车位充足, 绿化率高, 国央企, 品牌房企","4室, 5室","45000,  元/㎡(均价)"
保利拾光年,黄埔,知识城,广州市黄埔区知识城九龙大道保利拾光年,25500, 元/㎡(均价),总价235(万/套),售罄,建面 61-99㎡,"车位充足, 低密居所, 国央企, 品牌房企","2室, 3室, 4室","25500,  元/㎡(均价)"
天麟府,天河,天河公园,黄埔大道中,150000, 元/㎡(均价),总价1700(万/套),售罄,建面 113-213㎡,"车位充足, 绿化率高, 品牌房企, 贴心物业","3室, 4室","150000,  元/㎡(均价)"
越秀臻裕府,花都,镜湖大道,凤凰南路,28000, 元/㎡(均价),总价290(万/套),售罄,建面 98-124㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","28000,  元/㎡(均价)"
世茂天越,越秀,五羊新城,五羊邨地铁站A出口（往南前行100米）,价格待定,,,售罄,,"车位充足, 人车分流, 品牌房企, 贴心物业",,价格待定
合盛·秀丽庄园,增城,小楼镇,小楼镇春天路2号,18600, 元/㎡(均价),总价500(万/套),售罄,建面 215㎡,"车位充足, 低密居所, 养老舒适, 品牌房企",5室,"18600,  元/㎡(均价)"
兰园·凤翎台,花都,镜湖大道,凤凰南路,23800, 元/㎡(均价),总价238(万/套),售罄,建面 86-117㎡,"车位充足, 绿化率高, 品牌房企, 贴心物业","3室, 4室","23800,  元/㎡(均价)"
领南星河荣誉,南沙,南沙港,南沙湾英东大道领南星河荣誉销售中心,28000, 元/㎡(均价),总价280(万/套),售罄,建面 97-131㎡,"车位充足, 绿化率高, 品牌房企, 贴心物业","3室, 4室, 5室","28000,  元/㎡(均价)"
兰园·凤翎台,花都,镜湖大道,凤凰南路兰园·凤翎台,价格待定,,,售罄,,"车位充足, 品牌房企, 地铁沿线, 公交直达",,价格待定
大华·紫悦府,番禺,市桥,禺山西路,27000, 元/㎡(均价),总价260(万/套),售罄,建面 97-125㎡,"车位充足, 绿化率高, 品牌房企, 健身跑道","2室, 3室, 4室","27000,  元/㎡(均价)"
大华·紫悦府,番禺,市桥,禺山西路（海伦堡创意园旁）,29000, 元/㎡(均价),总价90(万/套),售罄,,"车位充足, 人车分流, 品牌房企, 贴心物业",,"29000,  元/㎡(均价)"
盛禾水悦城,白云,石井,石门街珠岗路自编888号,价格待定,,,售罄,,"人车分流, 封闭管理, 近地铁, 地铁沿线",,价格待定
龙湖天著,白云,人和,广州市白云区人和镇规划二横路,26000, 元/㎡(均价),总价230(万/套),售罄,建面 94-139㎡,"车位充足, 绿化率高, 高品质小区, 养老舒适","3室, 4室","26000,  元/㎡(均价)"
时代龙湖天著,白云,人和,广东省广州市白云区人和镇规划二横路,23000, 元/㎡(均价),总价65(万/套),售罄,,"人车分流, 封闭管理, 品牌房企, 健身跑道",,"23000,  元/㎡(均价)"
时代龙湖天著,白云,人和,广东省广州市白云区人和镇规划二横路,价格待定,,,售罄,,"人车分流, 大型社区, 品牌房企, 健身跑道",,价格待定
珠江壹号,海珠,广州大道南,逸景路353号,40000, 元/㎡(均价),,售罄,,"车位充足, 人车分流, 多轨交汇, 地铁沿线",,"40000,  元/㎡(均价)"
珠江壹号,海珠,广州大道南,逸景路353号,价格待定,,,售罄,,"车位充足, 人车分流, 自持商业, 多轨交汇",,价格待定
珠江壹号,海珠,广州大道南,逸景路353号,48000, 元/㎡(均价),总价240(万/套),售罄,建面 49-95㎡,"车位充足, 人车分流, 自持商业, 多轨交汇","2室, 3室, 4室","48000,  元/㎡(均价)"
紫星华府,海珠,新港西,海珠广州大道南430号,70000, 元/㎡(均价),总价500(万/套),售罄,建面 43-104㎡,"绿化率高, 人车分流, 贴心物业, 近地铁","1室, 2室, 3室","70000,  元/㎡(均价)"
中国铁建海悦国际,南沙,万顷沙,珠江街万悦二街1号,价格待定,,,售罄,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
璞悦台,番禺,市桥北,番禺区东环街道市新路69号,31000, 元/㎡(均价),总价320(万/套),售罄,建面 102-128㎡,"车位充足, 绿化率高, 品牌房企, 健身跑道","3室, 4室","31000,  元/㎡(均价)"
四海城商业广场,番禺,万博,汉溪大道东390号,30000, 元/㎡(均价),总价150(万/套),售罄,建面 2150㎡,"大型社区, 近地铁, 多轨交汇, 已交房超2年",31室,"30000,  元/㎡(均价)"
建华广场,白云,机场路,云城东路555号,价格待定,,,售罄,,"人车分流, 封闭管理, 品牌房企, 自持商业",,价格待定
智联汽车小镇,番禺,莲花山,金山大道东龙丰路段,价格待定,,,售罄,,"车位充足, 人车分流, 国央企, 品牌房企",,价格待定
光大ONE+,增城,永宁,香山大道与创盈路交汇处,30000, 元/㎡(均价),总价200(万/套),售罄,,"车位充足, 人车分流, 品牌房企, 公交直达",,"30000,  元/㎡(均价)"
星樾山畔TOD,黄埔,科学城,广州市黄埔区地铁7号线燕山站上盖,36500, 元/㎡(均价),总价365(万/套),售罄,建面 80-110㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","36500,  元/㎡(均价)"
星汇城,黄埔,知识城,广东省广州市黄埔区,22000, 元/㎡(均价),总价210(万/套),售罄,建面 81-122㎡,"车位充足, 绿化率高, 国央企, 品牌房企","3室, 4室","22000,  元/㎡(均价)"
时代云来（广州）,白云,人和,广州市白云区人和镇18/22号线方石站旁,25000, 元/㎡(均价),总价210(万/套),售罄,建面 77-107㎡,"车位充足, 绿化率高, 品牌房企, 科技住宅","3室, 4室","25000,  元/㎡(均价)"
万科金域曦府,荔湾,花地湾,荔湾区地铁1号线花地湾站旁,55000, 元/㎡(均价),总价550(万/套),售罄,建面 72-132㎡,"人车分流, 大型社区, 国央企, 品牌房企","2室, 3室, 4室","55000,  元/㎡(均价)"
星河智荟,南沙,明珠湾,大涌东路与工业五路交叉路东北角,24000, 元/㎡(均价),总价250(万/套),售罄,建面 86-130㎡,"低总价, 车位充足, 绿化率高, 品牌房企","3室, 4室","24000,  元/㎡(均价)"
越秀和樾府,番禺,汉溪长隆,番禺大道与汉溪大道交汇处西侧,66000, 元/㎡(均价),总价700(万/套),售罄,建面 98-270㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室, 5室","66000,  元/㎡(均价)"
保利悦公馆,番禺,金山谷,番禺区万博金山谷旁（富豪山庄北门）,38000, 元/㎡(均价),总价345(万/套),售罄,建面 91-140㎡,"车位充足, 绿化率高, 国央企, 品牌房企","2室, 3室, 4室","38000,  元/㎡(均价)"
保利·明玥晨光,花都,新区,凤凰北路马鞍山公园西南侧,27500, 元/㎡(均价),总价260(万/套),售罄,建面 89-138㎡,"车位充足, 人车分流, 国央企, 品牌房企","3室, 4室","27500,  元/㎡(均价)"
雅居乐天际715,荔湾,芳村,岭海街12号,60000, 元/㎡(均价),总价387(万/套),售罄,建面 64-83㎡,"人车分流, 封闭管理, 品牌房企, 贴心物业",2室,"60000,  元/㎡(均价)"
时代云来（广州）,白云,人和,广州空港经济区·江人三路南,35000, 元/㎡(均价),总价200(万/套),售罄,,"人车分流, 小型社区, 品牌房企, 健身跑道",,"35000,  元/㎡(均价)"
保利阅云台,白云,新市,三元里大道1375号,50000, 元/㎡(均价),总价300(万/套),售罄,建面 28㎡,"车位充足, 人车分流, 国央企, 品牌房企",1室,"50000,  元/㎡(均价)"
越秀国际总部广场,南沙,金洲,广东省广州市南沙区金隆路,25000, 元/㎡(均价),总价300(万/套),售罄,,"人车分流, 大型社区, 国央企, 品牌房企",,"25000,  元/㎡(均价)"
建华广场,白云,机场路,云城东路555号,价格待定,,,售罄,,"人车分流, 封闭管理, 品牌房企, 儿童乐园",,价格待定
景豪方大厦,越秀,北京路,大马站4、6、8号,价格待定,,,售罄,,"人车分流, 小型社区, 国央企, 品牌房企",,价格待定
保利大都汇,番禺,汉溪长隆,汉溪大道与新光快速交汇处,30000, 元/㎡(均价),总价6000(万/套),售罄,建面 1979-4504㎡,"车位充足, 人车分流, 国央企, 品牌房企","6室, 10室","30000,  元/㎡(均价)"
雅居乐滨江雅苑,从化,太平镇,广从南路与太平西路交汇处,11500, 元/㎡(均价),总价90(万/套),售罄,建面 77-97㎡,"车位充足, 人车分流, 品牌房企, 科技住宅","3室, 4室","11500,  元/㎡(均价)"
中海联南沙国贸中心,南沙,金洲,上隆岭路中海联南沙国贸中心,18000, 元/㎡(均价),总价120(万/套),售罄,建面 122-243㎡,"人车分流, 小型社区, 近地铁, 地铁沿线",1室,"18000,  元/㎡(均价)"
明珠湾壹号,南沙,明珠湾,江灵南路与纵三路交汇处,50000, 元/㎡(均价),总价1588(万/套),售罄,建面 320-380㎡,"车位充足, 人车分流, 国央企, 贴心物业",3室,"50000,  元/㎡(均价)"
中国铁建环球中心,南沙,南沙区府,丰泽西路中国铁建环球中心,12600, 元/㎡(均价),总价75(万/套),售罄,建面 38-49㎡,"小型社区, 国央企, 品牌房企, 近地铁",1室,"12600,  元/㎡(均价)"
保利湾上,南沙,黄阁,南沙保利城售楼部,22000, 元/㎡(均价),总价200(万/套),售罄,建面 77-110㎡,"车位充足, 人车分流, 国央企, 品牌房企","2室, 3室, 4室","22000,  元/㎡(均价)"
奥园中新城市天地,增城,中新镇,广东省广州市增城区风光路360,21500, 元/㎡(均价),总价185(万/套),售罄,建面 76-98㎡,"车位充足, 人车分流, 品牌房企, 近地铁","3室, 4室","21500,  元/㎡(均价)"
合景臻玥广场,黄埔,科学城,广州市黄埔区科翔路76号臻玥广场售楼部（美国人学校对面）,55000, 元/㎡(均价),总价1600(万/套),售罄,,"车位充足, 人车分流, 品牌房企, 近地铁",,"55000,  元/㎡(均价)"
逸合中心,荔湾,鹤洞,浣花路,价格待定,,,售罄,,"车位充足, 小型社区, 品牌房企, 近地铁",,价格待定
