标题,地区,位置,具体位置,resblock-tag1 resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
江鹤1号,鹤山市,鹤山市,大岗路江鹤1号,"楼盘, 车位充足, 人车分流, 小三居",7000,总价53-82(万/套),在售,"3室, 4室",建面 89-143㎡
春风潮鸣花园,鹤山市,鹤山市,江门鹤山市沙坪城区古劳水乡东坡公园旁,"楼盘, 人车分流, 大型社区, 品牌房企",7750,总价57-68(万/套),在售,"3室, 4室",建面 83-103㎡
春风潮鸣花园,鹤山市,鹤山市,沙坪街道春风潮鸣花园,"楼盘, 人车分流, 大型社区, 品牌房企",10000,总价220-235(万/套),在售,"4室, 5室",建面 214-231㎡
顺峰府,顺德,大良东区,广东省佛山市顺德区新桂中路9号,"佛山楼盘, 车位充足, 绿化率高, 近地铁",17000,总价148-600(万/套),在售,"2室, 3室, 4室",建面 90-300㎡
新怡明德世家,南海,盐步,佛山南海大沥皇朝西路与建设西路交汇处,"佛山楼盘, 低单价, 人车分流, 小型社区",13500,总价125-195(万/套),在售,"3室, 4室",建面 93-137㎡
东建天赋龙湾,禅城,张槎,佛山禅城张槎忠信路北侧、华富路西侧、智慧路南侧,"佛山楼盘, 绿化率高, 人车分流, 品牌房企",18500,总价150-403(万/套),在售,"3室, 4室",建面 97-187㎡
智信明轩,高明,荷城,祥如路23号,"佛山楼盘, 人车分流, 小型社区, 公交直达",6300,总价57-68(万/套),在售,3室,建面 95-108㎡
博雅滨江,三水,西南街道,文锋西路55号花果山,"佛山楼盘, 车位充足, 人车分流, 品牌房企",20000,总价57-137(万/套),在售,1室,建面 28-68㎡
捷和广场三期水溋坊,三水,云东海街道,南丰大道捷和广场三期水溋坊,"佛山楼盘, 低总价, 人车分流, 封闭管理",25000,总价104.4-164.9(万/套),在售,1室,建面 22-65㎡
桐林天晋,南海,盐步,南海-盐步/盐秀路1号之二,"佛山楼盘, 人车分流, 小型社区, 公交直达",17000,总价137-201(万/套),在售,"2室, 3室",建面 89-115㎡
涛汇鎏金湾二期·瑞府,顺德,大良新区,佛山顺德大良南江社区德胜西路10号,"佛山楼盘, 绿化率高, 人车分流, 公交直达",15000,总价195-225(万/套),在售,"3室, 4室",建面 120-140㎡
怡亚通珑樾,禅城,岭南大道,地铁湾华站北行约200米,"佛山楼盘, 车位充足, 人车分流, 国央企",18000,总价1100(万/套),在售,,
藏珑华府,顺德,陈村,顺德-陈村/佛山广珠西线石洲出口西侧800米,"佛山楼盘, 低单价, 人车分流, 封闭管理",8800,总价30-50(万/套),在售,"1室, 2室",建面 39-58㎡
智富新天地,顺德,杏坛,佛山顺德杏坛高赞村高桂大道北28号,"佛山楼盘, 低单价, 低总价, 人车分流",7800,总价54-83(万/套),在售,"3室, 4室",建面 72-107㎡
中兴汇富居,鹤山市,鹤山市,铁夫路中兴汇富居,"楼盘, 绿化率高, 人车分流, 公交直达",6800,总价49-150(万/套),在售,"3室, 4室, 5室",建面 76-189㎡
桃园高尔夫豪庭,南海,松岗,南海区狮山镇桃影路8号,"佛山楼盘, 人车分流, 小型社区, 置换改善",20000,总价480-2300(万/套),在售,"6室, 7室, 8室",建面 396-973㎡
万和融禧公馆,南海,千灯湖,桂城街道万和融禧公馆,"佛山楼盘, 小型社区, 封闭管理, 多轨交汇",17000,总价130-225(万/套),在售,"2室, 3室",建面 71-122㎡
大学城•禾粤,南海,狮山,佛山南海狮山和众路3号,"佛山楼盘, 低单价, 低总价, 人车分流",7500,总价70-100(万/套),在售,"3室, 4室",建面 88-123㎡
天健汇,天河,车陂,车陂北路（天坤三路与健明四路交汇处）,"人车分流, 小型社区, 国央企, 品牌房企",37500,总价135(万/套),售罄,"1室, 3室",建面 36-51㎡
绿地云央,白云,太和,草塘路5号,"车位充足, 人车分流, 国央企, 品牌房企",27500,总价275(万/套),售罄,"3室, 4室",建面 98-138㎡
智杰雅筑,从化,河滨北路,向阳路32号,"绿化率高, 人车分流, 入户花园, 贴心物业",11000,总价140(万/套),售罄,"3室, 5室",建面 90-242㎡
南华时代城,花都,铁路西,新华街工业大道18号,"人车分流, 大型社区, 健身跑道, 地铁沿线",20000,总价220(万/套),售罄,3室,建面 105-124㎡
公园里（春晓花园）,增城,荔城增江,广汕公路与增江大道南交汇处（天恩小学对面）,"车位充足, 绿化率高, 入户花园, 中式建筑",9800,,售罄,3室,建面 113-135㎡
中森茗苑,增城,新塘北,新塘石新路168号,"人车分流, 封闭管理, 入户花园, 儿童乐园",21000,总价185(万/套),售罄,3室,建面 85-88㎡
宏诚海峰花园,从化,江浦街,广州市从化区江埔街环市东路453号,"人车分流, 封闭管理, 健身跑道, 贴心物业",价格待定,,售罄,"2室, 3室, 4室",建面 79-134㎡
越秀星汇云城,白云,同和,广州大道北同宝路163号,"车位充足, 绿化率高, 国央企, 入户花园",53000,总价550(万/套),售罄,"2室, 3室, 4室",建面 78-122㎡
盈港国际,南沙,进港大道,广州市南沙区南沙街进港大道577号进港大道盈港国际,"绿化率高, 人车分流, 自持商业, 公交直达",14500,总价140(万/套),售罄,"1室, 2室, 3室",建面 87-139㎡
远东御江豪庭,荔湾,茶滘,百花路58号（花地河畔）,"人车分流, 小型社区, 休闲会所, 地铁沿线",40000,总价343(万/套),售罄,"0室, 2室, 3室",建面 85-127㎡
中海联南沙国贸中心,南沙,金洲,上隆岭路中海联南沙国贸中心,"人车分流, 小型社区, 近地铁, 地铁沿线",13000,总价68(万/套),售罄,2室,建面 52-58㎡
家和天曜,天河,黄村,大灵山路430号,"绿化率高, 人车分流, 自持商业, 公交直达",33000,总价135(万/套),售罄,2室,建面 43-52㎡
大夫山尚东,番禺,市桥,禺山西路东桥大街68号,"绿化率高, 人车分流, 品牌房企, 贴心物业",24000,总价220(万/套),售罄,"2室, 3室, 4室",建面 79-110㎡
中鼎名汇,黄埔,黄埔区府,广东省广州市黄埔区丰乐北路68号,"绿化率高, 人车分流, 贴心物业, 自持商业",23500,总价170(万/套),售罄,"1室, 2室",建面 49-86㎡
保利罗兰国际4期,黄埔,科学城,开创大道2656号,"车位充足, 绿化率高, 国央企, 品牌房企",41000,总价450(万/套),售罄,"1室, 2室, 3室",建面 54-172㎡
金地香山湖,增城,永宁,永和新新大道15号,"人车分流, 小型社区, 品牌房企, 入户花园",12000,总价160(万/套),售罄,4室,建面 129-170㎡
天马丽苑·悦璟湾,花都,铁路西,新街大道望亭路8号,"车位充足, 绿化率高, 养老舒适, 入户花园",32000,总价360(万/套),售罄,"3室, 4室",建面 99-145㎡
增城一品山湖,增城,荔城增江,增江街初溪村（广东工业大学华立学院旁和新建的北汽汽车城对面）,"人车分流, 大型社区, 国央企, 品牌房企",11000,总价130(万/套),售罄,"3室, 4室",建面 107-149㎡
中国铁建环球中心,南沙,南沙区府,广州市南沙区进港大道与丰泽西路交汇处,"人车分流, 大型社区, 国央企, 品牌房企",23000,,售罄,,
众筑•东山学府,越秀,环市东,东风东路737号（东风东路小学对面）,"人车分流, 小型社区, 近地铁, 多轨交汇",价格待定,,售罄,"1室, 2室",建面 42-61㎡
万科海上传奇,荔湾,芳村,芳村大道珠江隧道口以西,"车位充足, 小型社区, 国央企, 品牌房企",价格待定,,售罄,,
合景誉山国际,增城,永宁,广园东新新公路中段,"车位充足, 人车分流, 品牌房企, 贴心物业",18000,总价90(万/套),售罄,,
华发荔湾荟,荔湾,滘口,芳村大道西兴东路（郭村小区以南）,"人车分流, 小型社区, 国央企, 品牌房企",22000,总价85(万/套),售罄,"2室, 3室",建面 41-64㎡
广州国际空港中心,花都,镜湖大道,迎宾大道以南,"绿化率高, 人车分流, 国央企, 品牌房企",12000,总价46(万/套),售罄,"1室, 2室",建面 35-41㎡
招商臻园,增城,新塘北,广园快速荔新出口新塘万达旁,"车位充足, 人车分流, 国央企, 品牌房企",18000,总价230(万/套),售罄,"3室, 4室, 5室",建面 95-143㎡
越秀臻悦府,花都,镜湖大道,花都湖•凤凰南路,"车位充足, 绿化率高, 国央企, 品牌房企",30000,总价290(万/套),售罄,4室,建面 100-120㎡
逸合中心,荔湾,鹤洞,浣花路荔湾儿童公园西侧,"人车分流, 封闭管理, 品牌房企, 近地铁",34000,总价155(万/套),售罄,"2室, 3室",建面 30-59㎡
粤泰荣廷府,越秀,东川路,东华西路52-56号,"人车分流, 小型社区, 品牌房企, 近地铁",价格待定,,售罄,,
越秀国际总部广场,南沙,金洲,双山大道与金隆路交汇处,"人车分流, 大型社区, 国央企, 品牌房企",13500,总价70(万/套),售罄,"2室, 3室, 4室",建面 40-87㎡
天河金街,天河,天润路,天河北路曜一城广场负一楼,"车位充足, 小型社区, 近地铁, 地铁沿线",价格待定,,售罄,,
合家和府,从化,旺城片区,城郊街城新路136号,"车位充足, 绿化率高, 儿童乐园, 公交直达",12000,总价120(万/套),售罄,"2室, 3室",建面 90-124㎡
星河·湾区壹号,南沙,金洲,金苑大街与金苑横街交叉口西,"人车分流, 封闭管理, 品牌房企, 健身跑道",13000,总价80(万/套),售罄,"1室, 2室, 3室",建面 39-73㎡
祈福黄金海岸,花都,赤坭镇,赤泥镇培正大道集益水库（培正学院旁）,"绿化率高, 低密居所, 贴心物业, 实体样板间",7888,总价58(万/套),售罄,"2室, 3室, 4室",建面 73-151㎡
海航白云YH城,白云,夏茅,鹤龙一路208号,"小型社区, 品牌房企, 地铁沿线, 公交直达",价格待定,,售罄,,
嘉骏幸福里,从化,旧城区,广州市从化区城郊安园街43号,"绿化率高, 人车分流, 健身跑道, 休闲会所",15500,总价149(万/套),售罄,3室,建面 89-106㎡
保利合锦领秀山,增城,荔城增江,增江街陆村村鹅春岭,"车位充足, 人车分流, 品牌房企, 入户花园",10000,,售罄,"3室, 4室",建面 100-139㎡
远洋招商保利东湾,增城,朱村,广东省广州市增城区朱村大道西163号,"车位充足, 人车分流, 国央企, 品牌房企",20000,总价188(万/套),售罄,"3室, 4室",建面 96-110㎡
合汇璟园,增城,增城碧桂园,荔城街荔湖大道397号,"车位充足, 人车分流, 品牌房企, 入户花园",35000,总价800(万/套),售罄,4室,建面 207-250㎡
珠光御景壹號,荔湾,黄沙,黄沙大道15-17号,"绿化率高, 人车分流, 休闲会所, 自持商业",65000,总价400(万/套),售罄,"1室, 2室, 3室",建面 50-100㎡
纵横缤城,白云,新市,佳园街37-45号（单）,"绿化率高, 人车分流, 地铁沿线, 公交直达",43000,总价360(万/套),售罄,"2室, 3室",建面 71-100㎡
广州大学城智慧谷,番禺,国际创新城,曾边大街思科智慧城,"人车分流, 大型社区, 品牌房企, 入户花园",28600,总价950(万/套),售罄,1室,建面 340㎡
鸿成珠江玥,南沙,万顷沙,广州市珠江街新广六路112号,"绿化率高, 低密居所, 养老舒适, 自持商业",19000,总价180(万/套),售罄,"2室, 3室",建面 77-100㎡
华远雲和墅,白云,东平,白云大道北大一大街23号,"车位充足, 绿化率高, 国央企, 养老舒适",90000,总价2000(万/套),售罄,"2室, 3室",建面 153-230㎡
鸿成珠江玥,南沙,万顷沙,珠江街西新二路（西新社区旁）,"小型社区, 地铁沿线, 公交直达, 已交房超2年",价格待定,,售罄,,
大壮国际广场,黄埔,科学城,开泰大道601号,"大型社区, 近地铁, 地铁沿线, 综合商场",价格待定,,售罄,,
嘉骏幸福里,从化,旧城区,广州市从化区城郊安园街43号,"人车分流, 小型社区, 健身跑道, 贴心物业",价格待定,,售罄,,
越秀臻悦府,花都,镜湖大道,"凤凰南路, 越秀臻悦府","车位充足, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
保利阅云台,白云,新市,三元里大道1375号,"车位充足, 绿化率高, 国央企, 品牌房企",45000,总价450(万/套),售罄,"3室, 4室",建面 99-108㎡
时代四季奕居,越秀,水荫,环市东水荫路70号,"绿化率高, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
南沙.越秀明珠天悦江湾,南沙,明珠湾,庙南路江灵路小学旁越秀明珠天悦江湾,"绿化率高, 人车分流, 国央企, 品牌房企",30000,总价260(万/套),售罄,"3室, 4室",建面 80-178㎡
中国铁建·花语岭南,番禺,金山谷,兴学路西侧,"车位充足, 绿化率高, 国央企, 品牌房企",45000,总价650(万/套),售罄,"4室, 5室",建面 110-195㎡
保利拾光年,黄埔,知识城,广州市黄埔区知识城九龙大道保利拾光年,"车位充足, 低密居所, 国央企, 品牌房企",25500,总价235(万/套),售罄,"2室, 3室, 4室",建面 61-99㎡
天麟府,天河,天河公园,黄埔大道中,"车位充足, 绿化率高, 品牌房企, 贴心物业",150000,总价1700(万/套),售罄,"3室, 4室",建面 113-213㎡
越秀臻裕府,花都,镜湖大道,凤凰南路,"车位充足, 绿化率高, 国央企, 品牌房企",28000,总价290(万/套),售罄,"3室, 4室",建面 98-124㎡
世茂天越,越秀,五羊新城,五羊邨地铁站A出口（往南前行100米）,"车位充足, 人车分流, 品牌房企, 贴心物业",价格待定,,售罄,,
合盛·秀丽庄园,增城,小楼镇,小楼镇春天路2号,"车位充足, 低密居所, 养老舒适, 品牌房企",18600,总价500(万/套),售罄,5室,建面 215㎡
兰园·凤翎台,花都,镜湖大道,凤凰南路,"车位充足, 绿化率高, 品牌房企, 贴心物业",23800,总价238(万/套),售罄,"3室, 4室",建面 86-117㎡
领南星河荣誉,南沙,南沙港,南沙湾英东大道领南星河荣誉销售中心,"车位充足, 绿化率高, 品牌房企, 贴心物业",28000,总价280(万/套),售罄,"3室, 4室, 5室",建面 97-131㎡
兰园·凤翎台,花都,镜湖大道,凤凰南路兰园·凤翎台,"车位充足, 品牌房企, 地铁沿线, 公交直达",价格待定,,售罄,,
大华·紫悦府,番禺,市桥,禺山西路,"车位充足, 绿化率高, 品牌房企, 健身跑道",27000,总价260(万/套),售罄,"2室, 3室, 4室",建面 97-125㎡
大华·紫悦府,番禺,市桥,禺山西路（海伦堡创意园旁）,"车位充足, 人车分流, 品牌房企, 贴心物业",29000,总价90(万/套),售罄,,
盛禾水悦城,白云,石井,石门街珠岗路自编888号,"人车分流, 封闭管理, 近地铁, 地铁沿线",价格待定,,售罄,,
龙湖天著,白云,人和,广州市白云区人和镇规划二横路,"车位充足, 绿化率高, 高品质小区, 养老舒适",26000,总价230(万/套),售罄,"3室, 4室",建面 94-139㎡
时代龙湖天著,白云,人和,广东省广州市白云区人和镇规划二横路,"人车分流, 封闭管理, 品牌房企, 健身跑道",23000,总价65(万/套),售罄,,
时代龙湖天著,白云,人和,广东省广州市白云区人和镇规划二横路,"人车分流, 大型社区, 品牌房企, 健身跑道",价格待定,,售罄,,
珠江壹号,海珠,广州大道南,逸景路353号,"车位充足, 人车分流, 多轨交汇, 地铁沿线",40000,,售罄,,
珠江壹号,海珠,广州大道南,逸景路353号,"车位充足, 人车分流, 自持商业, 多轨交汇",价格待定,,售罄,,
珠江壹号,海珠,广州大道南,逸景路353号,"车位充足, 人车分流, 自持商业, 多轨交汇",48000,总价240(万/套),售罄,"2室, 3室, 4室",建面 49-95㎡
紫星华府,海珠,新港西,海珠广州大道南430号,"绿化率高, 人车分流, 贴心物业, 近地铁",70000,总价500(万/套),售罄,"1室, 2室, 3室",建面 43-104㎡
中国铁建海悦国际,南沙,万顷沙,珠江街万悦二街1号,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
璞悦台,番禺,市桥北,番禺区东环街道市新路69号,"车位充足, 绿化率高, 品牌房企, 健身跑道",31000,总价320(万/套),售罄,"3室, 4室",建面 102-128㎡
四海城商业广场,番禺,万博,汉溪大道东390号,"大型社区, 近地铁, 多轨交汇, 已交房超2年",30000,总价150(万/套),售罄,31室,建面 2150㎡
建华广场,白云,机场路,云城东路555号,"人车分流, 封闭管理, 品牌房企, 自持商业",价格待定,,售罄,,
智联汽车小镇,番禺,莲花山,金山大道东龙丰路段,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
光大ONE+,增城,永宁,香山大道与创盈路交汇处,"车位充足, 人车分流, 品牌房企, 公交直达",30000,总价200(万/套),售罄,,
星樾山畔TOD,黄埔,科学城,广州市黄埔区地铁7号线燕山站上盖,"车位充足, 绿化率高, 国央企, 品牌房企",36500,总价365(万/套),售罄,"3室, 4室",建面 80-110㎡
星汇城,黄埔,知识城,广东省广州市黄埔区,"车位充足, 绿化率高, 国央企, 品牌房企",22000,总价210(万/套),售罄,"3室, 4室",建面 81-122㎡
时代云来（广州）,白云,人和,广州市白云区人和镇18/22号线方石站旁,"车位充足, 绿化率高, 品牌房企, 科技住宅",25000,总价210(万/套),售罄,"3室, 4室",建面 77-107㎡
万科金域曦府,荔湾,花地湾,荔湾区地铁1号线花地湾站旁,"人车分流, 大型社区, 国央企, 品牌房企",55000,总价550(万/套),售罄,"2室, 3室, 4室",建面 72-132㎡
星河智荟,南沙,明珠湾,大涌东路与工业五路交叉路东北角,"低总价, 车位充足, 绿化率高, 品牌房企",24000,总价250(万/套),售罄,"3室, 4室",建面 86-130㎡
越秀和樾府,番禺,汉溪长隆,番禺大道与汉溪大道交汇处西侧,"车位充足, 人车分流, 国央企, 品牌房企",66000,总价700(万/套),售罄,"3室, 4室, 5室",建面 98-270㎡
保利悦公馆,番禺,金山谷,番禺区万博金山谷旁（富豪山庄北门）,"车位充足, 绿化率高, 国央企, 品牌房企",38000,总价345(万/套),售罄,"2室, 3室, 4室",建面 91-140㎡
保利·明玥晨光,花都,新区,凤凰北路马鞍山公园西南侧,"车位充足, 人车分流, 国央企, 品牌房企",27500,总价260(万/套),售罄,"3室, 4室",建面 89-138㎡
雅居乐天际715,荔湾,芳村,岭海街12号,"人车分流, 封闭管理, 品牌房企, 贴心物业",60000,总价387(万/套),售罄,2室,建面 64-83㎡
时代云来（广州）,白云,人和,广州空港经济区·江人三路南,"人车分流, 小型社区, 品牌房企, 健身跑道",35000,总价200(万/套),售罄,,
保利阅云台,白云,新市,三元里大道1375号,"车位充足, 人车分流, 国央企, 品牌房企",50000,总价300(万/套),售罄,1室,建面 28㎡
越秀国际总部广场,南沙,金洲,广东省广州市南沙区金隆路,"人车分流, 大型社区, 国央企, 品牌房企",25000,总价300(万/套),售罄,,
建华广场,白云,机场路,云城东路555号,"人车分流, 封闭管理, 品牌房企, 儿童乐园",价格待定,,售罄,,
景豪方大厦,越秀,北京路,大马站4、6、8号,"人车分流, 小型社区, 国央企, 品牌房企",价格待定,,售罄,,
保利大都汇,番禺,汉溪长隆,汉溪大道与新光快速交汇处,"车位充足, 人车分流, 国央企, 品牌房企",30000,总价6000(万/套),售罄,"6室, 10室",建面 1979-4504㎡
雅居乐滨江雅苑,从化,太平镇,广从南路与太平西路交汇处,"车位充足, 人车分流, 品牌房企, 科技住宅",11500,总价90(万/套),售罄,"3室, 4室",建面 77-97㎡
中海联南沙国贸中心,南沙,金洲,上隆岭路中海联南沙国贸中心,"人车分流, 小型社区, 近地铁, 地铁沿线",18000,总价120(万/套),售罄,1室,建面 122-243㎡
明珠湾壹号,南沙,明珠湾,江灵南路与纵三路交汇处,"车位充足, 人车分流, 国央企, 贴心物业",50000,总价1588(万/套),售罄,3室,建面 320-380㎡
中国铁建环球中心,南沙,南沙区府,丰泽西路中国铁建环球中心,"小型社区, 国央企, 品牌房企, 近地铁",12600,总价75(万/套),售罄,1室,建面 38-49㎡
保利湾上,南沙,黄阁,南沙保利城售楼部,"车位充足, 人车分流, 国央企, 品牌房企",22000,总价200(万/套),售罄,"2室, 3室, 4室",建面 77-110㎡
奥园中新城市天地,增城,中新镇,广东省广州市增城区风光路360,"车位充足, 人车分流, 品牌房企, 近地铁",21500,总价185(万/套),售罄,"3室, 4室",建面 76-98㎡
合景臻玥广场,黄埔,科学城,广州市黄埔区科翔路76号臻玥广场售楼部（美国人学校对面）,"车位充足, 人车分流, 品牌房企, 近地铁",55000,总价1600(万/套),售罄,,
逸合中心,荔湾,鹤洞,浣花路,"车位充足, 小型社区, 品牌房企, 近地铁",价格待定,,售罄,,
中建弘阳德信·湾璟壹号,南沙,万顷沙,兴隆路(美的南沙工业园东南侧约250米),"车位充足, 绿化率高, 国央企, 品牌房企",20000,总价180(万/套),售罄,"3室, 4室",建面 78-119㎡
万科城市之光,黄埔,文冲,广东省广州市黄埔区黄埔东路731号,"人车分流, 封闭管理, 国央企, 品牌房企",50000,总价450(万/套),售罄,"3室, 4室",建面 84-170㎡
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"绿化率高, 人车分流, 国央企, 品牌房企",38000,总价370(万/套),售罄,"2室, 3室, 4室",建面 78-117㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"车位充足, 人车分流, 国央企, 品牌房企",24000,总价845(万/套),售罄,1室,建面 467㎡
美的江上沄启,南沙,明珠湾,广东省广州市南沙区横沥镇凤凰二桥,"人车分流, 封闭管理, 品牌房企, 入户花园",30000,总价300(万/套),售罄,"2室, 3室",建面 98-140㎡
番禺敏捷广场,番禺,万博,番禺大道北331号,"人车分流, 大型社区, 品牌房企, 近地铁",价格待定,,售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"绿化率高, 低密居所, 高品质小区, 养老舒适",12000,总价120(万/套),售罄,"2室, 3室",建面 66-106㎡
美的江上沄启,南沙,明珠湾,横沥镇晓风印月东三街1号,"人车分流, 封闭管理, 品牌房企, 贴心物业",19500,总价74(万/套),售罄,"2室, 4室",建面 37-62㎡
领南星河荣誉,南沙,南沙港,南沙区英东大道领南星河荣誉销售中心,"车位充足, 人车分流, 品牌房企, 地铁沿线",价格待定,,售罄,,
领南星河荣誉,南沙,南沙港,南沙区英东大道,"车位充足, 人车分流, 品牌房企, 健身跑道",34000,总价160(万/套),售罄,,
中建玖玥湾,南沙,南沙港,港前大道北中建玖玥湾,"绿化率高, 人车分流, 国央企, 品牌房企",35000,总价400(万/套),售罄,"3室, 4室",建面 100-140㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
中海联睿品,增城,新塘北,民营大道东（新塘客运站南300米）,"车位充足, 人车分流, 地铁沿线, 公交直达",30000,总价150(万/套),售罄,,
合景臻玥广场,黄埔,科学城,广东省广州市黄埔区科翔路76号,"车位充足, 绿化率高, 品牌房企, 贴心物业",55000,总价1721(万/套),售罄,5室,建面 313-322㎡
保利越秀·天启,荔湾,鹤洞,广州市荔湾区芳村大道东5-1号、5-2号,"人车分流, 封闭管理, 国央企, 品牌房企",50000,总价600(万/套),售罄,"2室, 3室, 4室",建面 88-119㎡
越秀星寰TOD,番禺,钟村,广州市番禺区钟村街博鸿三路38号,"车位充足, 绿化率高, 国央企, 品牌房企",36000,总价320(万/套),售罄,"2室, 3室, 4室",建面 89-133㎡
铂玥明珠ONE,南沙,明珠湾,广东省广州市南沙区义沙东路,"车位充足, 人车分流, 品牌房企, 科技住宅",28000,总价250(万/套),售罄,"2室, 3室, 4室",建面 79-113㎡
保利南方财经大厦,天河,金融城,天河国际金融城金融方城（近临江大道）,"人车分流, 封闭管理, 国央企, 品牌房企",42000,总价1500(万/套),售罄,6室,建面 353㎡
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"绿化率高, 人车分流, 国央企, 品牌房企",18000,总价150(万/套),售罄,"1室, 4室",建面 32-80㎡
招商保利海珠天珺,海珠,黄埔村,海珠区新港东路招商保利·海珠天珺项目部,"车位充足, 人车分流, 国央企, 品牌房企",100000,总价1200(万/套),售罄,4室,建面 137-262㎡
凯得金融中心,黄埔,科学城,广东省广州市黄埔区科学大道239号,"小型社区, 国央企, 品牌房企, 近地铁",26000,总价2600(万/套),售罄,1室,建面 1001-1002㎡
越秀明珠天悦江湾,南沙,明珠湾,庙南路越秀明珠天悦江湾,"人车分流, 大型社区, 国央企, 品牌房企",27000,总价900(万/套),售罄,,
星汇城,黄埔,知识城,知识城镇龙地铁站C出口,"车位充足, 人车分流, 国央企, 品牌房企",15000,总价60(万/套),售罄,,
保利西悦湾,荔湾,坑口,东漖南路保利西悦湾,"绿化率高, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
凯德双桥新作,荔湾,大坦沙,广东省广州市荔湾区裕福街35号,"绿化率高, 人车分流, 品牌房企, 近地铁",50000,总价450(万/套),售罄,"2室, 3室, 4室",建面 74-128㎡
保利时代,从化,江浦街,广东省广州市从化区灌村路凤鸣西四街5号,"人车分流, 大型社区, 国央企, 品牌房企",22000,总价75(万/套),售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"人车分流, 小型社区, 品牌房企, 公交直达",价格待定,,售罄,,
金地半山风华,增城,永宁,新新大道北金地半山风华,"人车分流, 小型社区, 品牌房企, 公交直达",22500,总价100(万/套),售罄,,
招商保利海珠天珺,海珠,黄埔村,新港东路保利海珠天珺,"车位充足, 人车分流, 国央企, 品牌房企",30000,总价300(万/套),售罄,"3室, 4室",建面 85-137㎡
招商保利海珠天珺,海珠,黄埔村,新港东路保利海珠天珺,"车位充足, 人车分流, 国央企, 品牌房企",50000,总价330(万/套),售罄,,
保利时光印象,南沙,金洲,金岭南路保利时光印象,"绿化率高, 人车分流, 国央企, 品牌房企",18000,总价130(万/套),售罄,"3室, 4室",建面 68-118㎡
美的江上沄启,南沙,明珠湾,横沥镇晓风印月东三街1号,"人车分流, 封闭管理, 品牌房企, 公交直达",27000,总价100(万/套),售罄,,
万科云都荟,白云,三元里,机场路万科云都荟,"小型社区, 国央企, 品牌房企, 近地铁",价格待定,,售罄,,
宏鼎广场,白云,机场路,云城西路宏鼎广场,"小型社区, 品牌房企, 近地铁, 地铁沿线",价格待定,,售罄,,
中国铁建环球中心,南沙,南沙区府,广东省广州市南沙区S358(进港大道),"大型社区, 国央企, 品牌房企, 近地铁",28000,,售罄,,
富豪山庄·领峰,番禺,富豪山庄,番禺区东环街市广路232号富豪大厦,"车位充足, 低密居所, 地铁沿线, 公交直达",30000,总价159(万/套),售罄,1室,建面 53-107㎡
万科·瑧山府,白云,白云大道南,广东省广州市白云区白云大道788号,"车位充足, 人车分流, 国央企, 品牌房企",78000,总价936(万/套),售罄,"2室, 3室, 4室",建面 110-193㎡
越秀·星汇文玺,番禺,国际创新城,华南理工大学广州国际校区旁,"人车分流, 封闭管理, 国央企, 品牌房企",38000,总价90(万/套),售罄,,
中建玖玥湾,南沙,南沙港,南沙-明珠湾/港前大道北与下湾东街交叉口西北320米,"绿化率高, 人车分流, 国央企, 品牌房企",17000,总价76(万/套),售罄,"1室, 2室, 3室",建面 38-65㎡
金侨岭南院,番禺,石楼,莲湖路1号,"小型社区, 公交直达, 超市",价格待定,,售罄,,
越秀滨江樾,海珠,滨江西,滨江西路256号,"车位充足, 小型社区, 国央企, 品牌房企",90000,总价1800(万/套),售罄,4室,建面 195-298㎡
珠光小北御景,越秀,小北,越秀北路,"小型社区, 近地铁, 地铁沿线, 已交房超2年",价格待定,,售罄,,
云星汇,白云,江夏,广云路云星汇,"小型社区, 近地铁, 地铁沿线, 已交房2年内",价格待定,,售罄,,
香江健康小镇三期一方小院,增城,派潭镇,达开北路香江健康小镇三期一方小院,"小型社区, 品牌房企, 公交直达, 已交房超2年",价格待定,,售罄,,
中铁诺德·阅泷,白云,江高镇,广花路430号,"车位充足, 人车分流, 国央企, 品牌房企",价格待定,,售罄,,
富力新城,黄埔,开发东区,广东省广州市黄埔区笔村大路85,"人车分流, 大型社区, 地铁沿线, 公交直达",43000,总价355(万/套),售罄,1室,建面 71-81㎡
益乐邻里,白云,黄石,机场路益乐邻里,"小型社区, 国央企, 地铁沿线, 公交直达",价格待定,,售罄,,
琶洲One57,海珠,磨碟沙,广东省广州市海珠区新港东路107号,"人车分流, 小型社区, 国央企, 品牌房企",55000,总价230(万/套),售罄,"1室, 3室",建面 34-67㎡
