标题,地区,位置,类型,均价/平方米每元,室厅数,面积,总价,是否是人车分流,是否是品牌房企,是否是车位充足,是否是国央企,是否是绿化率高,是否是低总价,是否是佛山楼盘,是否是低单价,是否是小型社区,是否是近地铁,是否是大型社区,是否是地铁沿线
凯得金融中心,黄埔,科学城,售罄,26000,1室,1001.5,2600.0,0,1,0,1,0,0,0,0,1,1,0,0
越秀明珠天悦江湾,南沙,明珠湾,售罄,27000,"3室, 4室",108.0,900.0,1,1,0,1,0,0,0,0,0,0,1,0
星汇城,黄埔,知识城,售罄,15000,"3室, 4室",108.0,60.0,1,1,1,1,0,0,0,0,0,0,0,0
凯德双桥新作,荔湾,大坦沙,售罄,50000,"2室, 3室, 4室",101.0,450.0,1,1,0,0,1,0,0,0,0,1,0,0
保利时代,从化,江浦街,售罄,22000,"3室, 4室",108.0,75.0,1,1,0,1,0,0,0,0,0,0,1,0
金地半山风华,增城,永宁,售罄,22500,"3室, 4室",108.0,100.0,1,1,0,0,0,0,0,0,1,0,0,0
招商保利海珠天珺,海珠,黄埔村,售罄,30000,"3室, 4室",111.0,300.0,1,1,1,1,0,0,0,0,0,0,0,0
招商保利海珠天珺,海珠,黄埔村,售罄,50000,"3室, 4室",108.0,330.0,1,1,1,1,0,0,0,0,0,0,0,0
保利时光印象,南沙,金洲,售罄,18000,"3室, 4室",93.0,130.0,1,1,0,1,1,0,0,0,0,0,0,0
美的江上沄启,南沙,明珠湾,售罄,27000,"3室, 4室",108.0,100.0,1,1,0,0,0,0,0,0,0,0,0,0
富豪山庄·领峰,番禺,富豪山庄,售罄,30000,1室,80.0,159.0,0,0,1,0,0,0,0,0,0,0,0,1
越秀·星汇文玺,番禺,国际创新城,售罄,38000,"3室, 4室",108.0,90.0,1,1,0,1,0,0,0,0,0,0,0,0
中建玖玥湾,南沙,南沙港,售罄,17000,"1室, 2室, 3室",51.5,76.0,1,1,0,1,1,0,0,0,0,0,0,0
富力新城,黄埔,开发东区,售罄,43000,1室,76.0,355.0,1,0,0,0,0,0,0,0,0,0,1,1
琶洲One57,海珠,磨碟沙,售罄,55000,"1室, 3室",50.5,230.0,1,1,0,1,0,0,0,0,1,0,0,0
亿凯创智汇,白云,太和,售罄,14000,3室,64.0,50.0,0,0,0,0,0,0,0,0,1,0,0,1
保利罗兰国际（商业）,黄埔,科学城,售罄,40000,"3室, 4室",108.0,350.0,1,1,1,1,0,0,0,0,0,0,0,0
禧都华庭,花都,铁路西,售罄,28000,1室,40.0,114.0,1,1,0,0,0,0,0,0,1,1,0,0
金地云上,增城,中新镇,售罄,20000,"3室, 4室",108.0,95.0,1,1,1,0,0,0,0,0,0,0,0,1
星樾山畔TOD,黄埔,科学城,售罄,40000,"3室, 4室",108.0,200.0,1,1,1,1,0,0,0,0,0,0,0,0
禧都华庭,花都,铁路西,售罄,28000,1室,40.0,114.0,1,1,0,0,0,0,0,0,1,0,0,1
保利雅郡,荔湾,广钢新城,售罄,45000,"3室, 4室",89.0,398.0,1,1,0,1,1,0,0,0,0,0,0,0
龙光·玖龙湖,四会,大旺,售罄,6500,"2室, 3室",58.5,30.0,1,1,0,0,0,0,0,0,0,0,1,0
保利爱乐小镇,四会市,大旺广场,售罄,5800,"2室, 3室, 4室",107.0,50.0,1,0,0,1,0,0,0,0,0,0,1,0
龙光玖誉城,鼎湖区,鼎湖,售罄,9300,"2室, 3室, 4室",101.5,90.0,1,1,0,0,0,0,0,0,0,0,1,0
碧桂园明珠花园,四会,大旺,售罄,5500,3室,92.5,50.0,1,1,0,0,1,0,0,0,0,0,0,0
恒大名都,四会,大旺,售罄,6400,"3室, 4室",120.0,50.0,1,1,0,0,0,0,0,0,0,0,1,0
